# Accelerometer Data File
# Started @Fri Jul 20 17:04:29 GMT+08:00 2018
#
#
# sensor Vendor: STM
# sensor Name: K2HH Acceleration 
# sensor Resolution: 0.038307227m/sec^2; Max Range: 39.2266; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity  filtered out
# Accuracy: HIGH
0.034 0.16 -0.033 10
-0.069 0.026 0.161 10
-0.16 -0.127 0.384 10
-0.202 -0.256 0.524 10
-0.233 -0.345 0.709 12
-0.25 -0.356 0.694 8
-0.247 -0.381 0.572 10
-0.13 -0.251 0.296 10
0.068 0.052 -0.235 10
0.277 0.522 -0.944 10
0.441 0.947 -1.637 10
0.58 1.274 -2.158 10
0.661 1.414 -2.429 10
0.626 1.525 -2.336 10
0.505 1.472 -1.912 10
0.307 1.154 -1.365 10
0.016 0.511 -0.684 10
-0.259 -0.242 -0.003 10
-0.69 -1.223 0.938 10
-1.157 -2.165 2.231 10
-1.535 -3.201 3.619 11
-1.766 -3.495 4.282 9
-2.179 -3.715 5.398 10
-2.419 -3.616 5.711 10
-2.177 -3.254 5.14 8
-1.964 -2.865 4.392 2
-1.302 -1.915 2.563 10
-0.459 -0.9 0.701 10
0.31 0.081 -0.705 10
1.069 0.787 -1.816 10
1.702 1.701 -2.709 10
2.212 2.482 -3.735 10
2.751 2.879 -4.942 10
2.676 3.457 -5.445 10
2.426 3.825 -5.171 10
1.952 4.345 -4.929 10
1.602 4.417 -4.541 10
1.253 4.369 -4.085 10
0.876 3.731 -3.595 10
0.583 2.828 -2.758 10
0.237 1.474 -0.657 11
-0.132 0.404 0.194 9
-0.694 -0.951 1.778 10
-1.256 -2.262 3.071 10
-1.558 -3.586 4.439 10
-2.126 -5.013 5.942 10
-2.163 -5.695 5.748 11
-1.607 -5.494 4.385 9
-1.114 -4.964 2.739 10
-0.412 -3.587 1.908 10
0.235 -1.888 0.825 10
0.616 -0.398 0.062 10
0.72 0.768 -0.59 10
0.959 1.775 -1.555 10
1.275 2.786 -2.765 10
1.303 3.059 -3.169 10
1.328 3.271 -3.557 10
1.148 3.226 -3.387 10
0.868 2.794 -2.538 10
0.376 1.622 -1.275 13
-0.015 0.726 -0.258 7
-0.615 -0.31 1.257 10
-1.177 -1.299 2.605 12
-1.319 -1.63 2.82 8
